Match Date,Match,P1,P1 BB%,P1 Samples,P1 Worst Odds,P2,P2 BB%,P2 Samples,P2 Worst Odds
2026-03-30 23:15:00,Adrian Spychala vs Krzysztof Wloczko,Adrian Spychala,0.45,20,122.0,Krzysztof Wloczko,,10,
2026-03-30 23:20:00,Piotr Chodorski vs Kacper Petas,Piotr Chodorski,,10,,Kacper Petas,0.45,20,122.0
2026-03-30 16:20:00,Milosz Piecowski vs Przemyslaw Blocho,Milosz Piecowski,0.444,18,125.0,Przemyslaw Blocho,0.417,12,140.0
2026-03-30 18:45:00,Milosz Piecowski vs Przemyslaw Blocho,Milosz Piecowski,0.444,18,125.0,Przemyslaw Blocho,0.417,12,140.0
2026-03-31 01:35:00,Krzysztof Wloczko vs Miroslav Sklensky,Krzysztof Wloczko,0.438,16,129.0,Miroslav Sklensky,0.357,14,180.0
2026-03-30 19:45:00,Jakub Pruszkowski vs Mariusz Baron,Jakub Pruszkowski,0.286,14,250.0,Mariusz Baron,0.438,16,129.0
2026-03-31 00:10:00,Marian Lebek vs Wojciech Urban,Marian Lebek,,9,,Wojciech Urban,0.438,16,129.0
2026-03-30 17:20:00,Mariusz Baron vs Jakub Pruszkowski,Mariusz Baron,0.438,16,129.0,Jakub Pruszkowski,0.286,14,250.0
2026-03-31 06:55:00,Miroslav Sklensky vs Piotr Chlodnicki,Miroslav Sklensky,,11,,Piotr Chlodnicki,0.421,19,138.0
2026-03-30 08:30:00,Lukasz Pietraszko vs Michal Minda,Lukasz Pietraszko,,11,,Michal Minda,0.421,19,138.0
2026-03-30 16:45:00,Mateusz Misiak vs Przemyslaw Blocho,Mateusz Misiak,0.417,12,140.0,Przemyslaw Blocho,0.389,18,157.0
2026-03-30 19:10:00,Mateusz Misiak vs Przemyslaw Blocho,Mateusz Misiak,0.417,12,140.0,Przemyslaw Blocho,0.389,18,157.0
2026-03-31 03:20:00,Kacper Adamus vs Boguslaw Madej,Kacper Adamus,0.417,12,140.0,Boguslaw Madej,0.389,18,157.0
2026-03-31 07:20:00,Boguslaw Madej vs Kacper Adamus,Boguslaw Madej,0.389,18,157.0,Kacper Adamus,0.417,12,140.0
2026-03-31 04:00:00,Wojciech Gluszek vs Miroslaw Piecowski,Wojciech Gluszek,,10,,Miroslaw Piecowski,0.4,20,150.0
2026-03-30 23:30:00,Filip Kujawa vs Grzegorz Poliniewicz,Filip Kujawa,0.4,20,150.0,Grzegorz Poliniewicz,,10,
2026-03-30 16:05:00,Mariusz Baron vs Oskar Jadach,Mariusz Baron,0.4,15,150.0,Oskar Jadach,0.333,15,200.0
2026-03-30 22:05:00,Mariusz Baron vs Oskar Jadach,Mariusz Baron,0.4,15,150.0,Oskar Jadach,0.333,15,200.0
2026-03-31 06:00:00,Jakub Glanowski vs Kamil Rudomina,Jakub Glanowski,0.333,12,200.0,Kamil Rudomina,0.389,18,157.0
2026-03-30 14:30:00,Przemyslaw Blocho vs Marcin Kowalczyk,Przemyslaw Blocho,,8,,Marcin Kowalczyk,0.389,18,157.0
2026-03-30 16:10:00,Michal Machelski vs Jakub Cyndera,Michal Machelski,0.385,13,160.0,Jakub Cyndera,,6,
2026-03-30 16:10:00,Marcin Kowalczyk vs Bartlomiej Mrugala,Marcin Kowalczyk,0.385,13,160.0,Bartlomiej Mrugala,0.294,17,240.0
2026-03-30 17:25:00,Michal Machelski vs Miroslaw Warzecha,Michal Machelski,0.381,21,162.0,Miroslaw Warzecha,,9,
