player_low,player_high,matches,sweeps,avg_total_sets,avg_ATP,last_match,sweep_rate,non_sweep_rate
adam dosz,adrian spychala,20,10,3.75,67.9,2026-03-21 05:00:00,0.5,0.5
adam dosz,adrian wiecek,149,42,4.0,76.16107382550335,2026-03-23 13:25:00,0.28187919463087246,0.7181208053691275
adam dosz,amirreza abbasi,105,23,4.171428571428572,80.00952380952381,2026-03-22 11:00:00,0.21904761904761905,0.780952380952381
adam dosz,antoni witkowski,72,29,3.8194444444444446,70.81944444444444,2026-03-20 15:05:00,0.4027777777777778,0.5972222222222222
adam dosz,artur daniel,48,22,3.6875,68.16666666666667,2026-03-21 06:05:00,0.4583333333333333,0.5416666666666667
adam dosz,artur grela,68,19,4.0,74.51470588235294,2026-03-20 16:35:00,0.27941176470588236,0.7205882352941176
adam dosz,bartosz czerwinski,21,6,4.0476190476190474,74.66666666666667,2025-09-01 11:10:00,0.2857142857142857,0.7142857142857143
adam dosz,damian wederlich,49,17,3.8979591836734695,74.6938775510204,2024-12-27 17:25:00,0.3469387755102041,0.653061224489796
adam dosz,damian wojdyla,24,11,3.7083333333333335,67.33333333333333,2024-08-03 16:25:00,0.4583333333333333,0.5416666666666667
adam dosz,daniel bak,28,8,3.8214285714285716,71.0,2024-04-25 16:00:00,0.2857142857142857,0.7142857142857143
adam dosz,filip mlynarski,37,14,3.8378378378378377,70.70270270270271,2025-01-12 14:15:00,0.3783783783783784,0.6216216216216216
adam dosz,grzegorz adamiak,26,7,4.038461538461538,76.03846153846153,2026-03-22 13:25:00,0.2692307692307692,0.7307692307692308
adam dosz,grzegorz felkel,44,16,3.75,70.0909090909091,2026-02-21 12:10:00,0.36363636363636365,0.6363636363636364
adam dosz,jakub folwarski,29,11,3.8275862068965516,71.58620689655173,2024-11-05 14:35:00,0.3793103448275862,0.6206896551724138
adam dosz,jakub kosowski,133,54,3.781954887218045,69.13533834586467,2025-01-14 12:50:00,0.40601503759398494,0.5939849624060151
adam dosz,jan zandecki,100,27,4.06,76.62,2026-02-21 13:25:00,0.27,0.73
adam dosz,josef braun,58,18,4.0344827586206895,74.72413793103448,2026-03-23 16:10:00,0.3103448275862069,0.6896551724137931
adam dosz,kacper petas,41,11,4.048780487804878,76.82926829268293,2026-03-23 07:15:00,0.2682926829268293,0.7317073170731707
adam dosz,maksymilian miastowski,28,7,4.0,76.17857142857143,2026-02-19 12:10:00,0.25,0.75
adam dosz,marcin jadczyk,172,59,3.866279069767442,71.82558139534883,2026-03-23 12:35:00,0.3430232558139535,0.6569767441860466
adam dosz,martin olejnik,64,19,3.96875,74.0625,2026-03-21 14:40:00,0.296875,0.703125
adam dosz,mateusz golebiowski,148,52,3.8783783783783785,72.77027027027027,2025-10-20 13:40:00,0.35135135135135137,0.6486486486486487
adam dosz,michal murawski,29,12,3.7586206896551726,68.27586206896552,2025-10-05 14:05:00,0.41379310344827586,0.5862068965517242
adam dosz,patrik klos,47,18,3.851063829787234,72.8936170212766,2025-01-13 12:10:00,0.3829787234042553,0.6170212765957447
adam dosz,petr david,81,25,3.950617283950617,73.37037037037037,2025-10-19 15:35:00,0.30864197530864196,0.691358024691358
adam dosz,piotr chodorski,98,47,3.704081632653061,69.73469387755102,2026-03-23 11:00:00,0.47959183673469385,0.5204081632653061
adam dosz,piotr cyrnek,35,8,3.9714285714285715,74.11428571428571,2026-03-20 12:10:00,0.22857142857142856,0.7714285714285715
adam dosz,slawomir dosz,287,78,3.8954703832752613,74.4006968641115,2025-10-05 15:35:00,0.27177700348432055,0.7282229965156795
adam dosz,szymon kolasa,28,7,4.071428571428571,77.60714285714286,2025-10-17 14:05:00,0.25,0.75
adam dosz,tomasz kotowski,54,24,3.6481481481481484,68.68518518518519,2024-07-18 08:50:00,0.4444444444444444,0.5555555555555556
adam kasperski,adrian fabis,320,63,4.0875,78.45625,2026-04-18 16:15:00,0.196875,0.803125
adam kasperski,bartlomiej gala,41,16,3.7560975609756095,70.85365853658537,2025-02-15 03:20:00,0.3902439024390244,0.6097560975609756
adam kasperski,bartlomiej wisniewski,225,93,3.7777777777777777,72.32444444444444,2026-04-04 15:50:00,0.41333333333333333,0.5866666666666667
adam kasperski,blazej szczepanek,110,48,3.809090909090909,71.34545454545454,2024-12-29 05:25:00,0.43636363636363634,0.5636363636363637
adam kasperski,blazej warpas,20,4,4.2,78.7,2026-04-06 17:05:00,0.2,0.8
adam kasperski,dariusz szlubowski,31,7,4.129032258064516,77.0,2025-10-10 18:20:00,0.22580645161290322,0.7741935483870968
adam kasperski,dariusz wrobel,75,21,3.933333333333333,73.16,2026-04-07 01:10:00,0.28,0.72
adam kasperski,dawid gala,25,9,3.96,74.56,2025-02-15 01:20:00,0.36,0.64
adam kasperski,igor dabrowski,24,6,4.041666666666667,75.625,2025-06-03 09:45:00,0.25,0.75
adam kasperski,jakub grzegorczyk,106,35,3.9339622641509435,73.69811320754717,2025-02-08 00:05:00,0.330188679245283,0.6698113207547169
adam kasperski,jakub michalski,25,6,4.12,77.92,2024-06-02 02:00:00,0.24,0.76
adam kasperski,jakub nowak,20,6,3.9,70.65,2026-03-15 00:20:00,0.3,0.7
adam kasperski,jaroslaw rolak,234,90,3.8547008547008548,71.63247863247864,2026-04-19 01:00:00,0.38461538461538464,0.6153846153846154
adam kasperski,kacper nagel,24,3,4.25,81.0,2026-04-06 00:10:00,0.125,0.875
adam kasperski,kacper slawinski,121,36,4.016528925619835,76.19834710743801,2026-01-18 02:25:00,0.2975206611570248,0.7024793388429752
adam kasperski,krzysztof kotyl,88,24,3.977272727272727,75.61363636363636,2025-11-19 12:45:00,0.2727272727272727,0.7272727272727273
adam kasperski,krzysztof pawlowski,144,17,4.319444444444445,83.02777777777777,2025-10-24 01:35:00,0.11805555555555555,0.8819444444444444
adam kasperski,marchlewski kacper,26,19,3.3461538461538463,61.11538461538461,2026-03-23 00:45:00,0.7307692307692307,0.2692307692307693
adam kasperski,marcin kowalczyk,148,53,3.8175675675675675,71.39864864864865,2026-04-06 18:40:00,0.3581081081081081,0.6418918918918919
adam kasperski,mariusz koczyba,112,34,4.026785714285714,74.90178571428571,2025-04-02 16:45:00,0.30357142857142855,0.6964285714285714
adam kasperski,mateusz burkacki,142,52,3.908450704225352,72.40140845070422,2026-01-31 19:30:00,0.36619718309859156,0.6338028169014085
adam kasperski,mateusz trela,93,34,3.806451612903226,72.47311827956989,2026-02-09 01:35:00,0.3655913978494624,0.6344086021505376
