match_id,match_date,player1,player2,match_link
15-04-2026-wojciech-gluszek-aleksander-lilien,2026-04-15 14:40:00,Wojciech Gluszek,Aleksander Lilien,https://scores24.live/en/table-tennis/15-04-2026-wojciech-gluszek-aleksander-lilien
15-04-2026-smolka-kamil-rafal-gajda-1,2026-04-15 14:45:00,Kamil Smolka,Rafal Gajda,https://scores24.live/en/table-tennis/15-04-2026-smolka-kamil-rafal-gajda-1
15-04-2026-kacper-petas-jakub-kuzmicz,2026-04-15 14:45:00,Kacper Petas,Jakub Kuzmicz,https://scores24.live/en/table-tennis/15-04-2026-kacper-petas-jakub-kuzmicz
15-04-2026-martin-olejnik-josef-braun-1,2026-04-15 14:50:00,Martin Olejnik,Josef Braun,https://scores24.live/en/table-tennis/15-04-2026-martin-olejnik-josef-braun-1
15-04-2026-piotr-szafranek-karol-sulkowski,2026-04-15 15:00:00,Piotr Szafranek,Karol Sulkowski,https://scores24.live/en/table-tennis/15-04-2026-piotr-szafranek-karol-sulkowski
15-04-2026-juzek-sebastian-kacper-adamus-1,2026-04-15 15:05:00,Sebastian Juzek,Kacper Adamus,https://scores24.live/en/table-tennis/15-04-2026-juzek-sebastian-kacper-adamus-1
15-04-2026-olbrycht-michal-bartek-sulkowski,2026-04-15 15:05:00,Michal Olbrycht,Bartek Sulkowski,https://scores24.live/en/table-tennis/15-04-2026-olbrycht-michal-bartek-sulkowski
15-04-2026-jakub-kosowski-patrik-klos,2026-04-15 15:10:00,Jakub Kosowski,Patrik Klos,https://scores24.live/en/table-tennis/15-04-2026-jakub-kosowski-patrik-klos
15-04-2026-pytlas-wojciech-krzysztof-juszczyk,2026-04-15 15:10:00,Wojciech Pytlas,Krzysztof Juszczyk,https://scores24.live/en/table-tennis/15-04-2026-pytlas-wojciech-krzysztof-juszczyk
15-04-2026-piecowski-milosz-szymon-brud,2026-04-15 15:25:00,Milosz Piecowski,Szymon Brud,https://scores24.live/en/table-tennis/15-04-2026-piecowski-milosz-szymon-brud
15-04-2026-krystian-kolodziej-ufnal-mateusz-edward,2026-04-15 15:30:00,Krystian Kolodziej,Mateusz Edward Ufnal,https://scores24.live/en/table-tennis/15-04-2026-krystian-kolodziej-ufnal-mateusz-edward
15-04-2026-oskar-jadach-smolka-kamil,2026-04-15 15:30:00,Oskar Jadach,Kamil Smolka,https://scores24.live/en/table-tennis/15-04-2026-oskar-jadach-smolka-kamil
15-04-2026-grzegorz-felkel-petr-david,2026-04-15 15:35:00,Grzegorz Felkel,Petr David,https://scores24.live/en/table-tennis/15-04-2026-grzegorz-felkel-petr-david
15-04-2026-mariusz-koczyba-adam-ruszkiewicz,2026-04-15 15:35:00,Mariusz Koczyba,Adam Ruszkiewicz,https://scores24.live/en/table-tennis/15-04-2026-mariusz-koczyba-adam-ruszkiewicz
15-04-2026-jakub-zochniak-wojciech-gluszek,2026-04-15 15:50:00,Jakub Zochniak,Wojciech Gluszek,https://scores24.live/en/table-tennis/15-04-2026-jakub-zochniak-wojciech-gluszek
15-04-2026-patryk-jendrzejewski-rutkowski-mateusz,2026-04-15 15:55:00,Patryk Jendrzejewski,Rutkowski Mateusz,https://scores24.live/en/table-tennis/15-04-2026-patryk-jendrzejewski-rutkowski-mateusz
15-04-2026-rafal-gajda-mariusz-adamus-1,2026-04-15 15:55:00,Rafal Gajda,Mariusz Adamus,https://scores24.live/en/table-tennis/15-04-2026-rafal-gajda-mariusz-adamus-1
15-04-2026-oliver-vincenec-pawel-gasiorski,2026-04-15 16:00:00,Oliver Vincenec,Pawel Gasiorski,https://scores24.live/en/table-tennis/15-04-2026-oliver-vincenec-pawel-gasiorski
15-04-2026-adrian-fabis-stanislaw-wnek-1,2026-04-15 16:00:00,Adrian Fabis,Stanislaw Wnek,https://scores24.live/en/table-tennis/15-04-2026-adrian-fabis-stanislaw-wnek-1
15-04-2026-piotr-szafranek-piecowski-milosz,2026-04-15 16:15:00,Piotr Szafranek,Milosz Piecowski,https://scores24.live/en/table-tennis/15-04-2026-piotr-szafranek-piecowski-milosz
15-04-2026-olbrycht-michal-krystian-kolodziej,2026-04-15 16:20:00,Michal Olbrycht,Krystian Kolodziej,https://scores24.live/en/table-tennis/15-04-2026-olbrycht-michal-krystian-kolodziej
15-04-2026-juzek-sebastian-smolka-kamil,2026-04-15 16:20:00,Sebastian Juzek,Kamil Smolka,https://scores24.live/en/table-tennis/15-04-2026-juzek-sebastian-smolka-kamil
15-04-2026-bartlomiej-mrugala-marcin-kowalczyk,2026-04-15 16:25:00,Bartlomiej Mrugala,Marcin Kowalczyk,https://scores24.live/en/table-tennis/15-04-2026-bartlomiej-mrugala-marcin-kowalczyk
15-04-2026-pytlas-wojciech-mariusz-koczyba,2026-04-15 16:25:00,Wojciech Pytlas,Mariusz Koczyba,https://scores24.live/en/table-tennis/15-04-2026-pytlas-wojciech-mariusz-koczyba
15-04-2026-wojciech-gluszek-karol-sulkowski-1,2026-04-15 16:35:00,Wojciech Gluszek,Karol Sulkowski,https://scores24.live/en/table-tennis/15-04-2026-wojciech-gluszek-karol-sulkowski-1
15-04-2026-kacper-adamus-mariusz-adamus-1,2026-04-15 16:40:00,Kacper Adamus,Mariusz Adamus,https://scores24.live/en/table-tennis/15-04-2026-kacper-adamus-mariusz-adamus-1
15-04-2026-rutkowski-mateusz-bartek-sulkowski,2026-04-15 16:40:00,Rutkowski Mateusz,Bartek Sulkowski,https://scores24.live/en/table-tennis/15-04-2026-rutkowski-mateusz-bartek-sulkowski
