match_id,date,player1,player2,h2h_L10_weighted,h2h_L30_weighted,h2h_L60_weighted,h2h_L10_count,h2h_L30_count,h2h_L60_count,recent_A_L10,recent_B_L10,recent_A_L30,recent_B_L30,match_balance_L10
11620105,2026-03-21 02:30:00,Jiri Plachy,Kyryl Darin,0.8109999999999999,0.8109999999999999,0.8109999999999999,3,3,3,0.9,0.6,0.8333333333333334,0.5666666666666667,0.30000000000000004
11620357,2026-03-21 02:30:00,Jiri Louda,Karel Brozik,0.7,0.7,0.75,10,30,60,0.6,0.8,0.7333333333333333,0.7333333333333333,0.6000000000000001
11620420,2026-03-21 02:30:00,Matej Levicky,Zdenek Luksa,0.78,0.78,0.78,5,5,5,0.9,0.7,0.7333333333333333,0.6666666666666666,0.30000000000000004
11620596,2026-03-21 02:30:00,Jan Pleskot,Martin Tacinec,0.6,0.6333333333333333,0.6060606060606061,10,30,33,0.8,0.7,0.8,0.7333333333333333,0.20000000000000007
11621425,2026-03-21 02:30:00,David Mikula,Daniel Priesol,0.6633333333333333,0.6633333333333333,0.6633333333333333,0,0,0,0.7,0.6,0.7,0.6666666666666666,0.19999999999999996
11621499,2026-03-21 03:00:00,Michal Syroha,Jan Pleskot,0.7,0.7,0.6981132075471698,10,30,53,0.6,0.8,0.4666666666666667,0.8,0.4
11621479,2026-03-21 03:00:00,Tomas Hrabec,David Mikula,0.9,0.9,0.9,10,10,10,0.7,0.7,0.7666666666666667,0.7,0.09999999999999998
11621356,2026-03-21 03:00:00,Petr Sebera,Jiri Louda,0.7,0.7333333333333333,0.7714285714285715,10,30,35,0.6,0.6,0.6666666666666666,0.7333333333333333,0.19999999999999996
11621424,2026-03-21 03:00:00,Ivan Kolenciak,Matej Levicky,0.626,0.626,0.626,4,4,4,0.6,0.9,0.5666666666666667,0.7333333333333333,0.4
11621478,2026-03-21 03:00:00,Michal Vedmoch,Jiri Plachy,0.9,0.7,0.6774193548387096,10,30,31,1.0,0.9,0.7333333333333333,0.8333333333333334,0.3
11620537,2026-03-21 03:30:00,Karel Brozik,Radim Urbaniec,0.5,0.45454545454545453,0.45454545454545453,10,11,11,0.8,0.7,0.7333333333333333,0.5666666666666667,0.4000000000000001
11621456,2026-03-21 03:30:00,Martin Tacinec,Milos Pospisil,0.638,0.638,0.638,4,4,4,0.7,0.8,0.7333333333333333,0.6666666666666666,0.4000000000000001
11621500,2026-03-21 03:30:00,Zdenek Luksa,Vojtech Kocian,0.5766666666666667,0.5766666666666667,0.5766666666666667,5,5,5,0.7,0.9,0.6666666666666666,0.7,0.8000000000000002
11621505,2026-03-21 03:30:00,Daniel Priesol,David Heczko,0.9,0.75,0.75,10,16,16,0.6,0.8,0.6666666666666666,0.6,0.30000000000000016
11621507,2026-03-21 03:30:00,Kyryl Darin,Dmitro Parhomenko,0.8,0.7666666666666667,0.7333333333333333,10,30,60,0.6,0.8,0.5666666666666667,0.8,0.5
