player_low,player_high,matches,sweeps,avg_total_sets,avg_ATP,last_match,sweep_rate,non_sweep_rate
ales hlawatschke,jaroslav bresky,37,11,3.972972972972973,73.0,2024-12-16 00:00:00,0.2972972972972973,0.7027027027027026
ales hlawatschke,jaroslav prokupek,65,22,3.9846153846153847,74.16923076923077,2026-02-03 04:00:00,0.3384615384615385,0.6615384615384615
ales hlawatschke,jiri pozarsky,52,15,4.0,74.98076923076923,2025-11-19 08:00:00,0.28846153846153844,0.7115384615384616
ales hlawatschke,jiri zuzanek,39,12,4.0,74.51282051282051,2025-11-28 09:30:00,0.3076923076923077,0.6923076923076923
ales hlawatschke,marek kostal,22,4,4.2727272727272725,80.31818181818181,2025-09-16 08:00:00,0.18181818181818182,0.8181818181818181
ales hlawatschke,patrik pycha,41,9,4.073170731707317,75.97560975609755,2026-02-06 02:00:00,0.21951219512195122,0.7804878048780488
ales hlawatschke,radim pavelka,22,6,3.9545454545454546,74.04545454545455,2024-05-29 09:30:00,0.2727272727272727,0.7272727272727273
ales hlawatschke,richard krejci,34,7,4.117647058823529,76.41176470588235,2024-09-17 08:30:00,0.20588235294117646,0.7941176470588236
ales hlawatschke,simon kadavy,39,16,3.7435897435897436,70.33333333333333,2025-10-17 00:00:00,0.41025641025641024,0.5897435897435898
ales hlawatschke,tomas varnuska,26,10,3.8076923076923075,69.46153846153847,2025-10-03 06:30:00,0.38461538461538464,0.6153846153846154
ales hlawatschke,vladimir cermak,30,17,3.566666666666667,66.63333333333334,2026-03-18 03:00:00,0.5666666666666667,0.43333333333333335
ales hlawatschke,vladimr postelt,21,8,3.8095238095238093,70.0,2024-12-16 03:30:00,0.38095238095238093,0.6190476190476191
ales krejci,bohumil duben,90,17,4.266666666666667,80.31111111111112,2025-06-25 06:00:00,0.18888888888888888,0.8111111111111111
ales krejci,jan manhal sr,42,17,3.9047619047619047,73.04761904761905,2025-06-24 09:00:00,0.40476190476190477,0.5952380952380952
ales krejci,jaroslav wasserbauer,27,14,3.6666666666666665,69.29629629629629,2025-03-24 07:00:00,0.5185185185185185,0.4814814814814815
ales krejci,jiri vesely senior,20,7,3.9,71.8,2025-06-30 08:00:00,0.35,0.65
ales krejci,josef musil,52,22,3.826923076923077,69.78846153846153,2024-11-01 13:00:00,0.4230769230769231,0.5769230769230769
ales krejci,josef rossler,36,14,3.861111111111111,68.0,2025-05-10 19:00:00,0.3888888888888889,0.6111111111111112
ales krejci,karel hons,52,18,3.8846153846153846,72.53846153846153,2025-06-21 18:30:00,0.34615384615384615,0.6538461538461539
ales krejci,martin cvecek,36,12,3.9166666666666665,71.47222222222223,2025-02-16 07:30:00,0.3333333333333333,0.6666666666666667
ales krejci,martin zizka,67,24,3.91044776119403,74.01492537313433,2024-06-11 11:30:00,0.3582089552238806,0.6417910447761195
ales krejci,milan capek,28,8,4.107142857142857,77.5,2025-02-19 10:30:00,0.2857142857142857,0.7142857142857143
ales krejci,miroslav necas,62,10,4.290322580645161,80.48387096774194,2025-02-18 10:06:00,0.16129032258064516,0.8387096774193549
ales krejci,petr jakes,20,5,4.1,77.25,2025-04-21 13:30:00,0.25,0.75
ales krejci,radek limbursky,41,7,4.365853658536586,82.82926829268293,2025-06-24 08:00:00,0.17073170731707318,0.8292682926829268
ales krejci,radim jaros,25,10,3.96,74.4,2024-10-26 19:30:00,0.4,0.6
ales krejci,vaclav svoboda,35,9,4.057142857142857,75.22857142857143,2025-06-15 20:30:00,0.2571428571428571,0.7428571428571429
ales krejci,zdenek zikmunda,33,12,3.8484848484848486,73.27272727272727,2024-07-01 06:30:00,0.36363636363636365,0.6363636363636364
ales rusnak,filip sikora,66,17,4.106060606060606,76.3030303030303,2024-06-20 15:00:00,0.25757575757575757,0.7424242424242424
ales rusnak,jan dzida,41,14,3.951219512195122,71.95121951219512,2024-06-20 14:00:00,0.34146341463414637,0.6585365853658536
ales rusnak,pavel wawrosz,53,17,4.037735849056604,74.01886792452831,2024-06-19 18:00:00,0.32075471698113206,0.679245283018868
ales rusnak,rostislav niezgoda,79,14,4.139240506329114,76.15189873417721,2024-06-20 17:00:00,0.17721518987341772,0.8227848101265822
ales ruzicka,jiri beranek,24,12,3.6666666666666665,67.0,2025-06-27 07:30:00,0.5,0.5
ales ruzicka,ondrej mista,26,13,3.6923076923076925,66.0,2025-06-27 09:00:00,0.5,0.5
ales ruzicka,petr 	machovec,25,10,3.8,72.8,2025-06-03 11:30:00,0.4,0.6
ales ruzicka,petr holas,35,12,3.8857142857142857,73.31428571428572,2025-05-14 08:30:00,0.34285714285714286,0.6571428571428571
alesh bayer,dan volhejn,20,4,4.15,75.75,2025-09-20 18:30:00,0.2,0.8
alesh bayer,daniel tuma,24,5,4.083333333333333,78.375,2026-04-20 01:00:00,0.20833333333333334,0.7916666666666666
alesh bayer,denis hofman,99,15,4.313131313131313,81.76767676767676,2026-03-22 15:30:00,0.15151515151515152,0.8484848484848485
alesh bayer,jan mecl jr,20,7,3.95,74.1,2024-07-20 00:00:00,0.35,0.65
alesh bayer,jan sucharda,20,3,4.2,77.7,2026-02-13 15:30:00,0.15,0.85
alesh bayer,jiri ruzicka,144,43,3.9791666666666665,73.90972222222223,2025-10-18 01:30:00,0.2986111111111111,0.7013888888888888
alesh bayer,karel brozhik,34,11,3.9705882352941178,76.47058823529412,2026-04-20 02:30:00,0.3235294117647059,0.6764705882352942
alesh bayer,marcel pikous,28,4,4.285714285714286,82.5,2026-04-21 01:00:00,0.14285714285714285,0.8571428571428572
alesh bayer,marek sedlak,23,3,4.3478260869565215,84.3913043478261,2025-09-11 14:30:00,0.13043478260869565,0.8695652173913043
alesh bayer,martin bittner,24,9,4.0,77.08333333333333,2025-04-13 16:00:00,0.375,0.625
alesh bayer,martin huk,47,7,4.297872340425532,83.91489361702128,2025-10-15 01:00:00,0.14893617021276595,0.851063829787234
alesh bayer,martin sobisek,29,9,4.068965517241379,78.48275862068965,2026-04-17 00:30:00,0.3103448275862069,0.6896551724137931
alesh bayer,martin sychra,40,3,4.425,85.25,2026-04-21 00:00:00,0.075,0.925
alesh bayer,matous klimenta,40,2,4.5,85.6,2025-10-15 02:00:00,0.05,0.95
alesh bayer,michal regner,102,38,3.8333333333333335,73.29411764705883,2026-04-21 02:00:00,0.37254901960784315,0.6274509803921569
alesh bayer,michal vavrecka,57,7,4.473684210526316,84.0701754385965,2025-10-09 03:30:00,0.12280701754385964,0.8771929824561404
alesh bayer,michal zahradka,20,2,4.3,82.9,2024-12-11 23:00:00,0.1,0.9
alesh bayer,milan klement,30,7,4.366666666666666,82.93333333333334,2026-02-21 14:00:00,0.23333333333333334,0.7666666666666666
alesh bayer,oleksandr kolbasenko,32,11,4.0,74.59375,2025-09-20 21:00:00,0.34375,0.65625
alesh bayer,ondrej svacha,108,13,4.398148148148148,82.81481481481481,2025-10-18 18:00:00,0.12037037037037036,0.8796296296296297
alesh bayer,petr sebera,21,6,4.0476190476190474,75.23809523809524,2026-04-20 22:30:00,0.2857142857142857,0.7142857142857143
alesh bayer,radim urbaniec,26,6,4.153846153846154,77.8076923076923,2026-01-19 00:30:00,0.23076923076923078,0.7692307692307692
alesh bayer,robin pacha,24,10,3.75,67.875,2025-10-16 19:30:00,0.4166666666666667,0.5833333333333333
alesh bayer,rostyslav kliucuk,173,45,4.109826589595376,78.14450867052022,2025-09-05 18:30:00,0.26011560693641617,0.7398843930635839
alesh bayer,tadeas zika,23,8,3.869565217391304,73.73913043478261,2024-12-16 00:30:00,0.34782608695652173,0.6521739130434783
