match_id,date,player1,player2,h2h_L10_weighted,h2h_L30_weighted,h2h_L60_weighted,h2h_L10_count,h2h_L30_count,h2h_L60_count,recent_A_L10,recent_B_L10,recent_A_L30,recent_B_L30,match_balance_L10
11615666,2026-03-20 01:15:00,Michal Benes,Josef Braun,0.4,0.6190476190476191,0.6190476190476191,10,21,21,0.6,0.6,0.5666666666666667,0.6,0.3
11615423,2026-03-20 01:20:00,Karol Wisniewski,Krzysztof Wloczko,0.7,0.6666666666666666,0.6833333333333333,10,30,60,0.7,0.7,0.6,0.6333333333333333,0.09999999999999998
11619417,2026-03-20 01:25:00,Jacek Przewlocki,Miroslaw Piecowski,0.5,0.6333333333333333,0.7027027027027027,10,30,37,0.4,0.8,0.6333333333333333,0.8,0.5
11614455,2026-03-20 01:30:00,Grzegorz Wichowski,Lukasz Oracz,0.6,0.6818181818181818,0.6818181818181818,10,22,22,0.6,0.5,0.6333333333333333,0.5333333333333333,0.09999999999999998
11619487,2026-03-20 01:35:00,Milosz Cesarz,Michal Paszkiewicz,0.6,0.7222222222222222,0.7222222222222222,10,18,18,0.4,0.4,0.5333333333333333,0.6666666666666666,0.0
11619486,2026-03-20 01:40:00,Mateusz Zagajewski,Artur Sobel,0.7,0.7,0.7,10,10,10,0.5,0.8,0.4666666666666667,0.8,0.30000000000000004
11615240,2026-03-20 01:40:00,Piotr Cyrnek,Adam Dosz,0.6,0.8,0.7631578947368421,10,30,38,0.8,0.7,0.7666666666666667,0.7333333333333333,0.30000000000000004
11615151,2026-03-20 01:45:00,Jakub Kwapis,Artur Daniel,1.0,0.7666666666666667,0.6923076923076923,10,30,39,0.7,0.9,0.6333333333333333,0.7333333333333333,0.30000000000000004
11618441,2026-03-20 01:50:00,Wojciech Iwasyszyn,Igor Dabrowski,0.8,0.8666666666666667,0.7833333333333333,10,30,60,0.9,0.4,0.6333333333333333,0.5666666666666667,0.5
11614515,2026-03-20 01:55:00,Wojciech Tobiasz,Aleksander Szydlo,0.7933333333333333,0.7933333333333333,0.7933333333333333,0,0,0,0.9,0.7,0.8666666666666667,0.7,0.5
11619485,2026-03-20 02:00:00,Dawid Dytko,Wojciech Urban,0.646,0.646,0.646,4,4,4,0.8,0.3,0.7666666666666667,0.4666666666666667,0.9
11619484,2026-03-20 02:05:00,Michal Minda,Aleksander Lilien,0.7,0.6,0.65,10,30,60,0.9,0.7,0.8333333333333334,0.6666666666666666,0.6000000000000001
11615424,2026-03-20 02:10:00,Adrian Spychala,Miroslav Sklensky,0.4,0.43333333333333335,0.4666666666666667,10,30,60,0.3,0.6,0.5,0.6,0.39999999999999997
11615678,2026-03-20 02:15:00,Marcin Jadczyk,Antoni Witkowski,0.7,0.7,0.65,10,30,60,0.8,0.7,0.7333333333333333,0.6333333333333333,0.30000000000000004
11615158,2026-03-20 02:20:00,Mariusz Adamus,Oskar Jadach,0.7,0.8333333333333334,0.82,10,30,50,0.8,0.7,0.6666666666666666,0.7,0.20000000000000007
11615150,2026-03-20 02:35:00,Karol Wisniewski,Artur Daniel,0.6,0.7,0.7166666666666667,10,30,60,0.7,0.9,0.6,0.7333333333333333,0.20000000000000007
11615659,2026-03-20 02:40:00,Michal Benes,Adam Dosz,0.9,0.76,0.76,10,25,25,0.6,0.7,0.5666666666666667,0.7333333333333333,0.09999999999999998
11618440,2026-03-20 02:40:00,Miroslaw Piecowski,Wojciech Iwasyszyn,0.7,0.7,0.6875,10,30,48,0.8,0.9,0.8,0.6666666666666666,0.09999999999999998
11615662,2026-03-20 03:00:00,Piotr Cyrnek,Marcin Jadczyk,0.7,0.7666666666666667,0.7924528301886793,10,30,53,0.8,0.8,0.7666666666666667,0.7333333333333333,0.09999999999999998
11618439,2026-03-20 03:05:00,Jacek Przewlocki,Wojciech Iwasyszyn,0.8,0.7,0.7222222222222222,10,30,36,0.4,0.9,0.6333333333333333,0.6666666666666666,0.6
11615674,2026-03-20 03:10:00,Jakub Kwapis,Adrian Spychala,0.4,0.5,0.5121951219512195,10,30,41,0.7,0.3,0.6333333333333333,0.5,0.49999999999999994
11615673,2026-03-20 03:25:00,Antoni Witkowski,Josef Braun,0.6,0.6666666666666666,0.6808510638297872,10,30,47,0.7,0.6,0.6333333333333333,0.6,0.3
11615239,2026-03-20 03:35:00,Miroslav Sklensky,Krzysztof Wloczko,0.7,0.7,0.6666666666666666,10,30,60,0.6,0.7,0.6,0.6333333333333333,0.09999999999999998
11615668,2026-03-20 03:50:00,Michal Benes,Marcin Jadczyk,0.6,0.6666666666666666,0.7166666666666667,10,30,60,0.6,0.8,0.5666666666666667,0.7333333333333333,0.30000000000000004
11615682,2026-03-20 03:55:00,Karol Wisniewski,Adrian Spychala,0.6,0.6333333333333333,0.6833333333333333,10,30,60,0.7,0.3,0.6,0.5,0.39999999999999997
11615340,2026-03-20 04:10:00,Adam Dosz,Josef Braun,0.7,0.6666666666666666,0.6833333333333333,10,30,60,0.7,0.6,0.7333333333333333,0.6,0.39999999999999997
11615149,2026-03-20 04:20:00,Artur Daniel,Krzysztof Wloczko,0.8,0.7,0.7333333333333333,10,30,60,0.9,0.7,0.7333333333333333,0.6333333333333333,0.30000000000000004
11615341,2026-03-20 04:35:00,Piotr Cyrnek,Antoni Witkowski,0.9,0.75,0.75,10,28,28,0.8,0.7,0.7666666666666667,0.6333333333333333,0.4
11615672,2026-03-20 04:45:00,Jakub Kwapis,Miroslav Sklensky,0.6,0.5769230769230769,0.5769230769230769,10,26,26,0.7,0.6,0.6333333333333333,0.6,0.09999999999999998
11616671,2026-03-20 05:00:00,Artur Sobel,Grzegorz Poliniewicz,1.0,0.8333333333333334,0.8,10,30,60,0.8,0.8,0.8,0.8,0.09999999999999998
11615148,2026-03-20 05:05:00,Artur Daniel,Karol Wisniewski,0.6,0.7,0.7166666666666667,10,30,60,0.9,0.7,0.7333333333333333,0.6,0.20000000000000007
11616785,2026-03-20 05:20:00,Igor Dabrowski,Bartlomiej Wisniewski,0.7,0.7666666666666667,0.8,10,30,60,0.4,0.8,0.5666666666666667,0.7666666666666667,0.5
11615676,2026-03-20 05:30:00,Jakub Kwapis,Adrian Spychala,0.4,0.5,0.5121951219512195,10,30,41,0.7,0.3,0.6333333333333333,0.5,0.49999999999999994
11616670,2026-03-20 05:45:00,Krzysztof Kotyl,Miroslaw Piecowski,0.9,0.7333333333333333,0.7333333333333333,10,30,60,0.9,0.8,0.7,0.8,0.3
11616669,2026-03-20 05:50:00,Kamil Rudomina,Arkadiusz Mugowski,0.6,0.6,0.6166666666666667,10,30,60,0.7,0.4,0.7,0.5333333333333333,0.3999999999999999
11615238,2026-03-20 05:55:00,Krzysztof Wloczko,Miroslav Sklensky,0.7,0.7,0.6666666666666666,10,30,60,0.7,0.6,0.6333333333333333,0.6,0.09999999999999998
11615664,2026-03-20 06:00:00,Adam Dosz,Josef Braun,0.7,0.6666666666666666,0.6833333333333333,10,30,60,0.7,0.6,0.7333333333333333,0.6,0.39999999999999997
11615147,2026-03-20 06:20:00,Artur Daniel,Jakub Kwapis,1.0,0.7666666666666667,0.6923076923076923,10,30,39,0.9,0.7,0.7333333333333333,0.6333333333333333,0.30000000000000004
11615667,2026-03-20 06:25:00,Piotr Cyrnek,Michal Benes,0.7,0.6666666666666666,0.6666666666666666,10,12,12,0.8,0.6,0.7666666666666667,0.5666666666666667,0.4
11615686,2026-03-20 06:40:00,Miroslav Sklensky,Karol Wisniewski,0.6,0.6,0.4166666666666667,10,30,60,0.6,0.7,0.6,0.6,0.19999999999999996
