bb_bucket,samples,actual_win_rate
70%+,2254,0.48535936113575867
65-70%,1625,0.5009230769230769
60-65%,3722,0.5051047823750672
55-60%,9203,0.4827773552102575
50-55%,43640,0.49301099908340973
<50%,123279,0.4606786232853933
