date,player1,player2
2026-02-28 10:50:00,Michal Wojewodka,Adrian Fabis
2026-02-28 10:55:00,Gracjan Kesik,Mateusz Misiak
2026-02-28 11:00:00,Mateusz Rutkowski,Wojciech Gronowski
2026-02-28 11:00:00,Jacek Oracz,Artur Kubiak
2026-02-28 11:25:00,Alan Wos,Michal Olbrycht
2026-02-28 11:35:00,Adrian Fabis,Jacek Wieczerzak
2026-02-28 11:45:00,Bartosz Kwodawski,Bartlomiej Mleczko
2026-02-28 11:55:00,Michal Wojewodka,Rafal Glica
2026-02-28 12:05:00,Mateusz Rutkowski,Alan Wos
2026-02-28 12:20:00,Rafal Stapor,Jacek Wieczerzak
2026-02-28 12:30:00,Bartlomiej Mleczko,Wojciech Gronowski
2026-02-28 12:45:00,Adam Kasperski,Michal Wojewodka
2026-02-28 12:55:00,Krzysztof Schaniel,Grzegorz Sawicki
2026-02-28 12:55:00,Bartosz Kwodawski,Michal Olbrycht
2026-02-28 13:10:00,Adrian Fabis,Rafal Glica
2026-02-28 13:20:00,Oliver Vincenec,Piotr Gumulinski
2026-02-28 13:20:00,Alan Wos,Wojciech Gronowski
2026-02-28 13:30:00,Rafal Stapor,Michal Wojewodka
2026-02-28 13:40:00,Mateusz Rutkowski,Bartosz Kwodawski
2026-02-28 14:05:00,Bartlomiej Mleczko,Michal Olbrycht
2026-02-28 14:20:00,Rafal Glica,Jacek Wieczerzak
2026-02-28 14:30:00,Alan Wos,Bartosz Kwodawski
2026-02-28 14:50:00,Mateusz Rutkowski,Bartlomiej Mleczko
2026-02-28 15:05:00,Michal Wojewodka,Jacek Wieczerzak
2026-02-28 15:15:00,Michal Olbrycht,Wojciech Gronowski
2026-02-28 15:30:00,Adam Kasperski,Rafal Glica
2026-02-28 15:40:00,Alan Wos,Bartlomiej Mleczko
2026-02-28 16:00:00,Adam Kasperski,Michal Wojewodka
2026-02-28 16:20:00,Rafal Glica,Jacek Wieczerzak
2026-02-28 16:35:00,Mateusz Rutkowski,Michal Olbrycht
2026-02-28 16:45:00,Adam Kasperski,Jacek Wieczerzak
2026-02-28 16:55:00,Mateusz Rutkowski,Wojciech Gronowski
2026-02-28 17:10:00,Michal Wojewodka,Rafal Glica
2026-02-28 17:20:00,Michal Olbrycht,Mateusz Misiak
2026-02-28 17:35:00,Adam Kasperski,Rafal Glica
2026-02-28 17:45:00,Mateusz Rutkowski,Mateusz Misiak
2026-02-28 17:55:00,Jacek Wieczerzak,Michal Wojewodka
2026-02-28 18:05:00,Wojciech Gronowski,Michal Olbrycht
2026-02-28 18:20:00,Adam Kasperski,Michal Wojewodka
2026-02-28 18:30:00,Mateusz Rutkowski,Michal Olbrycht
2026-02-28 18:45:00,Rafal Glica,Jacek Wieczerzak
2026-02-28 19:10:00,Adam Kasperski,Jacek Wieczerzak
2026-02-28 19:20:00,Mateusz Rutkowski,Wojciech Gronowski
2026-02-28 19:35:00,Michal Wojewodka,Rafal Glica
2026-02-28 19:45:00,Michal Olbrycht,Mateusz Misiak
2026-02-28 20:00:00,Adam Kasperski,Rafal Glica
2026-02-28 20:10:00,Mateusz Rutkowski,Mateusz Misiak
2026-02-28 20:25:00,Jacek Wieczerzak,Michal Wojewodka
2026-02-28 20:35:00,Wojciech Gronowski,Michal Olbrycht
2026-02-28 21:00:00,Mateusz Rutkowski,Michal Olbrycht
