player_id,player_name,team,position
8483450,Ryan Greene,CHI,C
8478043,Sam Lafferty,CHI,C
8481519,Spencer Knight,CHI,G
8476882,Teuvo Teravainen,CHI,C
8477479,Tyler Bertuzzi,CHI,L
8482176,Wyatt Kaiser,CHI,D
8477476,Artturi Lehkonen,COL,L
8470613,Brent Burns,COL,D
8475754,Brock Nelson,COL,C
8480069,Cale Makar,COL,D
8478038,Devon Toews,COL,D
8476455,Gabriel Landeskog,COL,L
8484149,Gavin Brindley,COL,C
8480835,Jack Drury,COL,C
8481641,Joel Kiviranta,COL,L
8476312,Josh Manson,COL,D
8478406,Mackenzie Blackwood,COL,G
8480039,Martin Necas,COL,C
8477492,Nathan MacKinnon,COL,C
8480448,Parker Kelly,COL,C
8479525,Ross Colton,COL,C
8484258,Sam Malinski,COL,D
8479398,Samuel Girard,COL,D
8475809,Scott Wedgewood,COL,G
8477501,Valeri Nichushkin,COL,R
8478109,Victor Olofsson,COL,L
8482947,Zakhar Bardakov,COL,C
8477454,Adam Erne,DAL,L
8475755,Alexander Petrovic,DAL,D
8479193,Casey DeSmith,DAL,G
8476278,Colin Blackwell,DAL,C
8476902,Esa Lindell,DAL,D
8480950,Ilya Lyubushkin,DAL,D
8479979,Jake Oettinger,DAL,G
8473994,Jamie Benn,DAL,L
8480027,Jason Robertson,DAL,L
8484829,Justin Hryckowian,DAL,C
8478476,Kyle Capobianco,DAL,D
8483425,Lian Bichsel,DAL,D
8475168,Matt Duchene,DAL,C
8482145,Mavrik Bourque,DAL,C
8478420,Mikko Rantanen,DAL,R
8480036,Miro Heiskanen,DAL,D
8479414,Nathan Bastian,DAL,R
8480878,Nils Lundkvist,DAL,D
8480840,Oskar Bäck,DAL,C
8476889,Radek Faksa,DAL,C
8478449,Roope Hintz,DAL,C
8479351,Sam Steel,DAL,C
8481581,Thomas Harley,DAL,D
8475794,Tyler Seguin,DAL,C
8482740,Wyatt Johnston,DAL,C
8481607,Albert Johansson,DET,D
8479337,Alex DeBrincat,DET,R
8477429,Andrew Copp,DET,C
8484223,Axel Sandin-Pellikka,DET,D
8475279,Ben Chiarot,DET,D
8475660,Cam Talbot,DET,G
8477946,Dylan Larkin,DET,C
8481725,Elmer Soderblom,DET,L
8484471,Emmitt Finnie,DET,C
8476979,Erik Gustafsson,DET,D
8477456,J.T. Compher,DET,L
8480879,Jacob Bernard-Docker,DET,D
8474037,James van Riemsdyk,DET,L
8476434,John Gibson,DET,G
8482078,Lucas Raymond,DET,L
8483464,Marco Kasper,DET,C
8478891,Mason Appleton,DET,C
8479992,Michael Rasmussen,DET,C
8481542,Moritz Seider,DET,D
8474141,Patrick Kane,DET,R
8482762,Simon Edvinsson,DET,D
8474612,Travis Hamonic,DET,D
8474641,Adam Henrique,EDM,C
8480831,Alec Regula,EDM,D
8478233,Andrew Mangiapane,EDM,L
8478971,Connor Ingram,EDM,G
8478402,Connor McDavid,EDM,C
8477508,Curtis Lazar,EDM,C
8477498,Darnell Nurse,EDM,D
8480803,Evan Bouchard,EDM,D
8478458,Jack Roslovic,EDM,C
8478013,Jake Walman,EDM,D
8477953,Kasperi Kapanen,EDM,R
8477934,Leon Draisaitl,EDM,C
8483512,Matt Savoie,EDM,C
8475218,Mattias Ekholm,EDM,D
8477406,Mattias Janmark,EDM,C
8476454,Ryan Nugent-Hopkins,EDM,C
8481056,Spencer Stastney,EDM,D
8479365,Trent Frederic,EDM,C
8477465,Tristan Jarry,EDM,G
8480834,Ty Emberson,EDM,D
8481617,Vasily Podkolzin,EDM,R
8475786,Zach Hyman,EDM,L
8478421,A.J. Greer,FLA,L
8477932,Aaron Ekblad,FLA,D
8477493,Aleksander Barkov,FLA,C
8482113,Anton Lundell,FLA,C
8473419,Brad Marchand,FLA,L
8477409,Carter Verhaeghe,FLA,C
8481655,Cole Schwindt,FLA,C
8480193,Daniil Tarasov,FLA,G
8475179,Dmitry Kulikov,FLA,D
8482131,Donovan Sebrango,FLA,D
8480185,Eetu Luostarinen,FLA,C
8478542,Evan Rodrigues,FLA,C
8478055,Gustav Forsling,FLA,D
8473507,Jeff Petry,FLA,D
8480003,Jesper Boqvist,FLA,C
8479981,Jonah Gadjovich,FLA,L
8479316,Luke Kunin,FLA,C
8482713,Mackie Samoskevich,FLA,R
8479314,Matthew Tkachuk,FLA,L
8478859,Niko Mikkola,FLA,D
8477935,Sam Bennett,FLA,C
8477933,Sam Reinhart,FLA,C
8483771,Sandis Vilmanis,FLA,L
8475683,Sergei Bobrovsky,FLA,G
8477495,Seth Jones,FLA,D
8481600,Tobias Bjornfot,FLA,D
8484304,Uvis Balinskis,FLA,D
8477960,Adrian Kempe,LAK,R
8482155,Alex Laferriere,LAK,R
8481532,Alex Turcotte,LAK,C
8481732,Andre Lee,LAK,L
8483808,Andrei Kuzmenko,LAK,L
8476341,Anton Forsberg,LAK,G
8471685,Anze Kopitar,LAK,C
8478550,Artemi Panarin,LAK,C
8482730,Brandt Clarke,LAK,D
8475208,Brian Dumoulin,LAK,D
8476879,Cody Ceci,LAK,D
8470621,Corey Perry,LAK,R
8475311,Darcy Kuemper,LAK,G
8474563,Drew Doughty,LAK,D
8479421,Jacob Moverare,LAK,D
8482408,Jeff Malott,LAK,L
8476469,Joel Armia,LAK,R
8476441,Joel Edmundson,LAK,D
8477942,Kevin Fiala,LAK,L
8479998,Mikey Anderson,LAK,D
8482124,Quinton Byfield,LAK,R
8482726,Samuel Helenius,LAK,C
8483406,Taylor Ward,LAK,R
8479675,Trevor Moore,LAK,L
8477998,Warren Foegele,LAK,L
8482122,Brock Faber,MIN,D
8482094,Daemon Hunt,MIN,D
8483525,Danila Yurov,MIN,R
8479406,Filip Gustavsson,MIN,G
8478136,Jake Middleton,MIN,D
8474716,Jared Spurgeon,MIN,D
8482661,Jesper Wallstedt,MIN,G
8478493,Joel Eriksson Ek,MIN,C
8476463,Jonas Brodin,MIN,D
8478864,Kirill Kaprizov,MIN,L
8475220,Marcus Foligno,MIN,L
8475149,Marcus Johansson,MIN,L
8475692,Mats Zuccarello,MIN,R
8481557,Matt Boldy,MIN,L
8481477,Nico Sturm,MIN,C
8480800,Quinn Hughes,MIN,D
8477451,Ryan Hartman,MIN,R
8476994,Vinnie Hinostroza,MIN,C
8475765,Vladimir Tarasenko,MIN,R
8478508,Yakov Trenin,MIN,C
8474567,Zach Bogosian,MIN,D
8481618,Alex Newhook,MTL,C
8478851,Alexandre Carrier,MTL,D
8480074,Alexandre Texier,MTL,L
8482964,Arber Xhekaj,MTL,D
8475848,Brendan Gallagher,MTL,R
8481540,Cole Caufield,MTL,R
8484984,Ivan Demidov,MTL,R
8478133,Jake Evans,MTL,C
8482487,Jakub Dobes,MTL,G
8481593,Jayden Struble,MTL,D
8480813,Joe Veleno,MTL,C
8476981,Josh Anderson,MTL,R
8483515,Juraj Slafkovský,MTL,L
8482087,Kaiden Guhle,MTL,D
8481523,Kirby Dach,MTL,C
8483457,Lane Hutson,MTL,D
8476875,Mike Matheson,MTL,D
8480018,Nick Suzuki,MTL,C
8480865,Noah Dobson,MTL,D
8482775,Oliver Kapanen,MTL,C
8479339,Patrik Laine,MTL,R
8476479,Phillip Danault,MTL,C
8478470,Samuel Montembeault,MTL,G
8482737,Zachary Bolduc,MTL,R
8481721,Arseny Gritsyuk,NJD,R
8475455,Brenden Dillon,NJD,D
8477488,Brett Pesce,NJD,D
8479996,Cody Glass,NJD,C
8477015,Connor Brown,NJD,R
8482110,Dawson Mercer,NJD,C
8476462,Dougie Hamilton,NJD,D
8474149,Evgenii Dadonov,NJD,L
8481559,Jack Hughes,NJD,C
8474593,Jacob Markstrom,NJD,G
8474596,Jake Allen,NJD,G
8479407,Jesper Bratt,NJD,L
8480192,Johnathan Kovacevic,NJD,D
8478399,Jonas Siegenthaler,NJD,D
8476822,Luke Glendening,NJD,C
8482684,Luke Hughes,NJD,D
8483397,Marc McLaughlin,NJD,C
8484958,Maxim Tsyplakov,NJD,R
8475760,Nick Bjugstad,NJD,C
8480002,Nico Hischier,NJD,C
8481032,Paul Cotter,NJD,L
8483495,Simon Nemec,NJD,D
8476474,Stefan Noesen,NJD,R
8478414,Timo Meier,NJD,R
8479772,Zack MacEwen,NJD,R
8482482,Adam Wilsby,NSH,D
8476869,Brady Skjei,NSH,D
8482062,Cole Smith,NSH,L
8475287,Erik Haula,NSH,L
8476887,Filip Forsberg,NSH,L
8476539,Jonathan Marchessault,NSH,C
8482111,Justin Barron,NSH,D
8481020,Justus Annunen,NSH,G
