WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1,Auckland,ASB Classic,1/7/2026,WTA250,Outdoor,Hard,2nd Round,3,Costoulas S.,Quevedo K.,159,141,440,509,6,2,6,0,,,2,0,Completed,2,1.8,2.06,1.83,2.3,1.83,2.04,1.76,2.08,1.9
1,Auckland,ASB Classic,1/8/2026,WTA250,Outdoor,Hard,2nd Round,3,Eala A.,Marcinko P.,53,82,1076,837,6,0,6,2,,,2,0,Completed,1.57,2.38,1.63,2.42,1.62,2.6,1.58,2.33,1.63,2.56
1,Auckland,ASB Classic,1/8/2026,WTA250,Outdoor,Hard,2nd Round,3,Linette M.,Cocciaretto E.,52,81,1089,837,7,5,2,6,6,3,2,1,Completed,2,1.8,2.12,1.79,2.1,1.8,2.02,1.77,2.18,1.81
1,Auckland,ASB Classic,1/8/2026,WTA250,Outdoor,Hard,2nd Round,3,Svitolina E.,Boulter K.,13,112,2606,684,7,5,6,4,,,2,0,Completed,1.22,4.33,1.26,4.21,1.24,4.75,1.22,4.16,1.26,4.7
1,Auckland,ASB Classic,1/8/2026,WTA250,Outdoor,Hard,2nd Round,3,Kartal S.,Seidel E.,68,84,951,833,6,3,6,1,,,2,0,Completed,1.3,3.5,1.33,3.61,1.33,3.5,1.3,3.41,1.34,3.85
1,Auckland,ASB Classic,1/8/2026,WTA250,Outdoor,Hard,Quarterfinals,3,Wang Xin.,Jones F.,57,72,1056,912,6,4,4,3,,,1,2,Retired,1.33,3.4,1.39,3.23,1.38,3.5,1.35,3.14,1.4,3.4
1,Auckland,ASB Classic,1/9/2026,WTA250,Outdoor,Hard,Quarterfinals,3,Eala A.,Linette M.,53,52,1076,1089,6,3,6,2,,,2,0,Completed,1.53,2.5,1.57,2.55,1.55,2.6,1.52,2.49,1.6,2.62
1,Auckland,ASB Classic,1/9/2026,WTA250,Outdoor,Hard,Quarterfinals,3,Jovic I.,Costoulas S.,35,159,1423,440,6,2,7,6,,,2,0,Completed,1.25,4,1.27,4.1,1.26,4.25,1.25,3.81,1.27,4.5
1,Auckland,ASB Classic,1/9/2026,WTA250,Outdoor,Hard,Quarterfinals,3,Svitolina E.,Kartal S.,13,68,2606,951,6,4,6,7,7,6,2,1,Completed,1.33,3.4,1.36,3.4,1.34,5.5,1.3,3.61,1.37,3.6
1,Auckland,ASB Classic,1/10/2026,WTA250,Outdoor,Hard,Semifinals,3,Wang Xin.,Eala A.,57,53,1056,1076,5,7,7,5,6,4,2,1,Completed,2.63,1.5,2.76,1.51,2.75,1.53,2.53,1.51,2.88,1.52
1,Auckland,ASB Classic,1/10/2026,WTA250,Outdoor,Hard,Semifinals,3,Svitolina E.,Jovic I.,13,35,2606,1423,7,6,6,2,,,2,0,Completed,1.33,3.4,1.38,3.31,1.35,3.4,1.33,3.24,1.37,3.6
1,Auckland,ASB Classic,1/11/2026,WTA250,Outdoor,Hard,The Final,3,Svitolina E.,Wang Xin.,13,57,2606,1056,6,3,7,6,,,2,0,Completed,1.22,4.33,1.2,5.18,1.22,4.75,1.19,4.5,1.22,5.3
2,Brisbane,Brisbane International,1/4/2026,WTA500,Outdoor,Hard,1st Round,3,Tomljanovic A.,Jacquemot E.,78,56,844,1070,6,1,6,3,,,2,0,Completed,1.62,2.3,1.66,2.31,1.65,2.3,1.62,2.24,1.74,2.3
2,Brisbane,Brisbane International,1/4/2026,WTA500,Outdoor,Hard,1st Round,3,Kessler M.,Arango E.,31,48,1553,1149,6,1,6,3,,,2,0,Completed,1.25,4,1.26,4.17,1.28,4.25,1.25,3.88,1.3,4.2
2,Brisbane,Brisbane International,1/4/2026,WTA500,Outdoor,Hard,1st Round,3,Potapova A.,Kasatkina D.,55,40,1072,1275,7,5,4,6,6,4,2,1,Completed,2,1.8,1.94,1.94,2,1.97,1.93,1.85,1.96,2
2,Brisbane,Brisbane International,1/4/2026,WTA500,Outdoor,Hard,1st Round,3,Cirstea S.,Pavlyuchenkova A.,41,44,1243,1184,6,3,6,1,,,2,0,Completed,1.5,2.63,1.49,2.78,1.5,2.75,1.49,2.58,1.54,2.74
