Player,player_id,Position
Scotty Pippen Jr.,1630590,Guard
Daeqwon Plowden,1631342,Guard-Forward
Mason Plumlee,203486,Forward-Center
Brandin Podziemski,1641764,Guard
Jakob Poeltl,1627751,Center
Jordan Poole,1629673,Guard
Craig Porter Jr.,1641854,Guard
Kevin Porter Jr.,1629645,Guard-Forward
Michael Porter Jr.,1629008,Forward
Bobby Portis,1626171,Forward
Kristaps Porziņģis,204001,Forward-Center
Quinten Post,1642366,Center
Micah Potter,1630695,Center
Drake Powell,1642962,Guard-Forward
Dwight Powell,203939,Forward-Center
Norman Powell,1626181,Guard
Taurean Prince,1627752,Forward
Payton Pritchard,1630202,Guard
Tyrese Proctor,1642878,Guard
Olivier-Maxence Prosper,1641765,Forward
Derik Queen,1642852,Center
Neemias Queta,1629674,Center
Immanuel Quickley,1630193,Guard
Julius Randle,203944,Forward-Center
Maxime Raynaud,1642875,Center
Duop Reath,1641871,Center
Austin Reaves,1630559,Guard
Paul Reed,1630194,Forward
Antonio Reeves,1641810,Guard
Naz Reid,1629675,Center-Forward
Will Richard,1642954,Guard
Nick Richards,1630208,Center
Jase Richardson,1642859,Guard
Will Riley,1642860,Forward
Zaccharie Risacher,1642258,Forward
Duncan Robinson,1629130,Forward
Mitchell Robinson,1629011,Center-Forward
Orlando Robinson,1631115,Center
Ryan Rollins,1631157,Guard
Terry Rozier,1626179,Guard
Rayan Rupert,1641712,Guard-Forward
D'Angelo Russell,1626156,Guard
Domantas Sabonis,1627734,Forward-Center
Tidjane Salaün,1642275,Forward
Kobe Sanders,1642920,Guard
Gui Santos,1630611,Forward
Ben Saraf,1642879,Guard
Alex Sarr,1642259,Center
Marcus Sasser,1631204,Guard
Baylor Scheierman,1631248,Guard
Dennis Schröder,203471,Guard
Alperen Sengun,1630578,Center
Brice Sensabaugh,1641729,Forward
Collin Sexton,1629012,Guard
Landry Shamet,1629013,Guard
Terrence Shannon Jr.,1630545,Guard-Forward
Day'Ron Sharpe,1630549,Center
Shaedon Sharpe,1631101,Guard
Jamal Shead,1642347,Guard
Ben Sheppard,1641767,Guard
Reed Sheppard,1642263,Guard
Max Shulga,1642917,Guard
Pascal Siakam,1627783,Forward
Anfernee Simons,1629014,Guard
KJ Simpson,1642354,Guard
Jericho Sims,1630579,Center
Javon Small,1642914,Guard
Marcus Smart,203935,Guard
Dru Smith,1630696,Guard
Jalen Smith,1630188,Forward-Center
Tolu Smith,1642449,Forward
Jabari Smith Jr.,1631095,Forward
Nick Smith Jr.,1641733,Guard
Jeremy Sochan,1631110,Forward
Thomas Sorber,1642850,Center
Cam Spencer,1642285,Guard
Pat Spencer,1630311,Guard
Isaiah Stevens,1641815,Guard
Isaiah Stewart,1630191,Forward-Center
Julian Strawther,1631124,Guard
Max Strus,1629622,Guard-Forward
Jalen Suggs,1630591,Guard
Jae'Sean Tate,1630256,Forward
Jayson Tatum,1628369,Forward-Guard
Garrett Temple,202066,Guard-Forward
Dalen Terry,1631207,Forward
Adou Thiero,1642876,Guard
Cam Thomas,1630560,Guard
Amen Thompson,1641708,Guard-Forward
Ausar Thompson,1641709,Guard-Forward
Ethan Thompson,1630679,Guard
Klay Thompson,202691,Guard
Matisse Thybulle,1629680,Guard-Forward
Xavier Tillman,1630214,Forward
Drew Timme,1631166,Forward
Nae'Qwan Tomlin,1641772,Forward
John Tonje,1642910,Guard
Nikola Topić,1642260,Guard
Obi Toppin,1630167,Forward
Karl-Anthony Towns,1626157,Center-Forward
Nolan Traore,1642849,Guard
Gary Trent Jr.,1629018,Guard
Oscar Tshiebwe,1631131,Forward-Center
Myles Turner,1626167,Center-Forward
Hunter Tyson,1641816,Forward
Jaylon Tyson,1642281,Guard-Forward
Stanley Umude,1630649,Guard
Jonas Valančiūnas,202685,Center
Fred VanVleet,1627832,Guard
Jarred Vanderbilt,1629020,Forward
Devin Vassell,1630170,Guard-Forward
Gabe Vincent,1629216,Guard
Tristan Vukcevic,1641774,Forward
Nikola Vučević,202696,Center
Dean Wade,1629731,Forward-Center
Franz Wagner,1630532,Forward
Moritz Wagner,1629021,Forward-Center
Jabari Walker,1631133,Forward
Jarace Walker,1641716,Forward
Cason Wallace,1641717,Guard
Keaton Wallace,1630811,Guard
Jordan Walsh,1641775,Guard
Ja'Kobe Walter,1642266,Guard
Kel'el Ware,1642276,Center
P.J. Washington,1629023,Forward
TyTy Washington Jr.,1631102,Guard
Lindy Waters III,1630322,Forward
Trendon Watford,1630570,Guard-Forward
Jamir Watkins,1642364,Forward
Peyton Watson,1631212,Guard
Jaylen Wells,1642377,Forward
Victor Wembanyama,1641705,Forward-Center
Blake Wesley,1631104,Guard
Russell Westbrook,201566,Guard
Coby White,1629632,Guard
Derrick White,1628401,Guard
Cam Whitmore,1641715,Forward
Aaron Wiggins,1630598,Guard
Andrew Wiggins,203952,Forward
Amari Williams,1642873,Forward-Center
Brandon Williams,1630314,Guard
Cody Williams,1642262,Forward
Grant Williams,1629684,Forward
Jalen Williams,1631114,Guard-Forward
Jaylin Williams,1631119,Forward
Kenrich Williams,1629026,Guard-Forward
Mark Williams,1631109,Center
Patrick Williams,1630172,Forward
Ziaire Williams,1630533,Forward
Robert Williams III,1629057,Center-Forward
Vince Williams Jr.,1631246,Guard
Zion Williamson,1629627,Forward
Jalen Wilson,1630592,Forward
Danny Wolf,1642874,Forward
Guerschon Yabusele,1627824,Forward
Yang Hansen,1642905,Center
Jahmir Young,1642443,Guard
Trae Young,1629027,Guard
Chris Youngblood,1642959,Guard
Rocco Zikarsky,1642911,Center
Ivica Zubac,1627826,Center
Tristan da Silva,1641783,Forward
Nikola Đurišić,1642365,Guard
Dario Šarić,203967,Forward-Center
